COD; DISCRIMINAÇÃO  ; UNID. ; QUANT. ; P. UNIT. ; P. C/ BDI ; P. TOTAL ; P. UNIT. ; P. C/ BDI ; P. TOTAL C/ BDI ; P. UNIT. ; P. C/ BDI ; P. TOTAL C/ BDI ;(A - B) / B;
010009;Locação da obra à trena; m2 ;44,00;; 2,60 ; 114,40 ;; 2,54 ; 111,76 ;; 2,86 ; 125,84 ;-11,19%;
010004;Placa da obra; m2 ;6,00;; 272,30 ; 1.633,80 ;; 271,00 ; 1.626,00 ;; 275,42 ; 1.652,52 ;-1,60%;
020014;Retirada de esquadria sem aproveitamemo; m2 ;20,48;; 2,90 ; 59,39 ;; 2,85 ; 58,37 ;; 2,93 ; 60,01 ;-2,73%;
020016;Demolição manual de alvenaria de tijolo; m3 ;15,36;; 29,24 ; 449,13 ;; 29,00 ; 445,44 ;; 29,61 ; 454,81 ;-2,06%;
020020;Demolição da estrutura em madeira da cobertura; m2 ;194,07;; 3,65 ; 708,36 ;; 3,00 ; 582,21 ;; 3,71 ; 720,00 ;-19,14%;
020024;Retirada de telhas fibrocimento sem aproveitamemo; m2 ;158,10;; 2,03 ; 320,94 ;; 2,00 ; 316,20 ;; 2,05 ; 324,11 ;-2,44%;
020174;Retirada de entulho - manualmente; m3 ;23,72;; 27,84 ; 660,36 ;; 27,34 ; 648,50 ;; 30,36 ; 720,14 ;-9,95%;
030010;Escavação manual até 1,50m de profundidade; m3 ;12,96;; 25,60 ; 331,78 ;; 25,30 ; 327,89 ;; 26,01 ; 337,09 ;-2,73%;
030011;Aterro com material fora da obra, incluindo apiloamento; m3 ;86,40;; 56,60 ; 4.890,24 ;; 56,10 ; 4.847,04 ;; 63,52 ; 5.488,13 ;-11,68%;
030254;Reaterro compactado; m3 ;12,96;; 27,40 ; 355,10 ;; 27,00 ; 349,92 ;; 27,77 ; 359,90 ;-2,77%;
040026;Baldrame em concreto ciclópico c/ pedra preta incl. forma ; m3 ;5,78;; 704,35 ; 4.071,14 ;; 704,35 ; 4.071,14 ;; 725,26 ; 4.192,00 ;-2,88%;
040283;Bloco em concreto armado p/ fundação (incl. forma); m2 ;4,61;; 1.520,00 ; 7.007,20 ;; 1.520,00 ; 7.007,20 ;; 1.615,34 ; 7.446,72 ;-5,90%;
050257;Lastro de concreto magro c/ seixo; m3 ;1,08;; 398,63 ; 430,52 ;; 398,63 ; 430,52 ;; 392,82 ; 424,25 ;1,48%;
050729;Concreto armado FCK=20MPA, c/ forma mad. branca; m3 ;4,62;; 1.645,00 ; 7.599,90 ;; 1.645,00 ; 7.599,90 ;; 1.680,99 ; 7.766,17 ;-2,14%;
060046;Alvenaria tijolo de barro a cutelo; m2 ;111,60;; 36,01 ; 4.018,72 ;; 36,00 ; 4.017,60 ;; 35,87 ; 4.003,09 ;0,36%;
070194; Tesoura em madeira de lei p/ vão de 8m; un  ;4,00;; 1.053,12 ; 4.212,48 ;; 1.053,12 ; 4.212,48 ;; 1.156,12 ; 4.624,48 ;-8,91%;
070051;Estrutura em madeira de lei p/ telha de barro - pç aparelhada; m2 ;108,00;; 63,77 ; 6.887,16 ;; 63,77 ; 6.887,16 ;; 67,11 ; 7.247,88 ;-4,98%;
070052;Estrutura em madeira de lei p/ telha de barro - pç serrada; m2 ;193,20;; 58,68 ; 11.336,98 ;; 58,68 ; 11.336,98 ;; 59,03 ; 11.404,60 ;-0,59%;
70058;Cobertura - telha plan; m2 ;301,20;; 42,81 ; 12.894,37 ;; 42,81 ; 12.894,37 ;; 43,08 ; 12.975,70 ;-0,63%;
0287;Cumeeira de barro; m ;35,00;; 14,59 ; 510,65 ;; 14,59 ; 510,65 ;; 16,54 ; 578,90 ;-11,79%;
70241;Encaliçamento de telha cerâmica (beiral e cumeeira); m ;143,00;; 6,88 ; 983,84 ;; 6,88 ; 983,84 ;; 6,90 ; 986,70 ;-0,29%;
90065;Esquadria mad. e=3cm c/ caix., aduela e alizar; m2 ;20,16;; 537,04 ; 10.826,73 ;; 537,04 ; 10.826,73 ;; 564,46 ; 11.379,51 ;-4,86%;
90527;Janela mad. tipo de correr c/ caix. simples; m2 ;27,84;; 416,72 ; 11.601,48 ;; 416,72 ; 11.601,48 ;; 446,30 ; 12.424,99 ;-6,63%;
90399;"Portão de ferro 5/8"" c/ ferragens (incl. pint. anti-corrosiva)"; m2 ;16,92;; 307,93 ; 5.210,18 ;; 307,00 ; 5.194,44 ;; 320,68 ; 5.425,91 ;-4,27%;
90400;"Grade de ferro 5/8"" (incl. Pint. anti-corrosiva) "; m2 ;52,80;; 251,99 ; 13.305,07 ;; 251,99 ; 13.305,07 ;; 271,30 ; 14.324,64 ;-7,12%;
100226;Ferragens p/ porta extema 1 fl.; cj ;9,00;; 137,29 ; 1.235,61 ;; 137,29 ; 1.235,61 ;; 138,20 ; 1.243,80 ;-0,66%;
110143;Chapisco de cimento e areia no traço 1:3; m2 ;299,50;; 6,21 ; 1.859,90 ;; 6,21 ; 1.859,90 ;; 6,20 ; 1.856,90 ;0,16%;
110644;Cerâmica 20x20cm - PEI - III; m2 ;76,30;; 64,48 ; 4.919,82 ;; 64,48 ; 4.919,82 ;; 63,64 ; 4.855,73 ;1,32%;
110762;Emboço com argamassa 1:6:kimikal; m2 ;76,30;; 22,01 ; 1.679,36 ;; 22,01 ; 1.679,36 ;; 21,89 ; 1.670,21 ;0,55%;
110763;Reboco com argamassa 1:6:kimikal; m2 ;223,20;; 25,47 ; 5.684,90 ;; 25,47 ; 5.684,90 ;; 25,40 ; 5.669,28 ;0,28%;
130111;Camada impermeabilizadora e=10cm c/ pedra preta (incl. Sika 1); m2 ;44,00;; 42,03 ; 1.849,32 ;; 42,03 ; 1.849,32 ;; 41,76 ; 1.837,44 ;0,65%;
130110;Camada regularizadora no traço 1:4; m2 ;188,00;; 21,52 ; 4.045,76 ;; 21,52 ; 4.045,76 ;; 21,29 ; 4.002,52 ;1,08%;
130119;Lajota cerâmica 30x30 PEI-IV; m2 ;188,00;; 72,64 ; 13.656,32 ;; 72,64 ; 13.656,32 ;; 69,10 ; 12.990,80 ;5,12%;
130492;Calçada (inc. alicerce, baldrame e concreto c/ junta seca); m2 ;108,00;; 72,73 ; 7.854,84 ;; 72,73 ; 7.854,84 ;; 72,72 ; 7.853,76 ;0,01%;
140348';Barroteamento em madeira de lei p/ forro PVC; m2 ;188,00;; 28,23 ; 5.307,24 ;; 28,23 ; 5.307,24 ;; 29,93 ; 5.626,84 ;-5,68%;
141336;Forro em Iambri de PVC; m2 ;188,00;; 23,40 ; 4.399,20 ;; 23,40 ; 4.399,20 ;; 23,40 ; 4.399,20 ;0,00%;
150730;PVA interna c/ massa acrílica e selador; m2 ;520,80;; 18,12 ; 9.436,90 ;; 18,00 ; 9.374,40 ;; 21,42 ; 11.155,54 ;-15,97%;
150134;Esmalte sobre madeira c/ massa e sclador; m2 ;305,20;; 23,71 ; 7.236,29 ;; 23,71 ; 7.236,29 ;; 24,58 ; 7.501,82 ;-3,54%;
150491;Esmalte sobre grade de ferro (superf. aparelhada); m2 ;139,04;; 29,24 ; 4.065,53 ;; 29,24 ; 4.065,53 ;; 28,57 ; 3.972,37 ;2,35%;
150253;Acrílica fosca int/ext c/ massa e selador 3 demaos; m2 ;258,29;; 25,17 ; 6.501,16 ;; 25,17 ; 6.501,16 ;; 27,26 ; 7.040,99 ;-7,67%;
150207;Novacor; m2 ;108,00;; 10,00 ; 1.080,00 ;; 10,00 ; 1.080,00 ;; 10,84 ; 1.170,72 ;-7,75%;
150286;Pintura s/ telha cerâmica; m2 ;301,20;; 9,39 ; 2.828,27 ;; 9,39 ; 2.828,27 ;; 10,28 ; 3.096,34 ;-8,66%;
170321;Centro de distribuição p/ 12 disjuntores (c/ barramento); un  ;2,00;; 243,70 ; 487,40 ;; 243,70 ; 487,40 ;; 244,17 ; 488,34 ;-0,19%;
180414;Caixa em alvenaria de 30x30x30cm com tampa de concreto ; un  ;4,00;; 97,19 ; 388,76 ;; 97,19 ; 388,76 ;; 97,93 ; 391,72 ;-0,76%;
170076;"Eletroduto PVC de 3/4"""; m ;25,00;; 5,23 ; 130,75 ;; 5,23 ; 130,75 ;; 5,36 ; 134,00 ;-2,43%;
170418;Cabo de cobre 2,5mm2 - 750 V; m ;60,00;; 3,17 ; 190,20 ;; 3,17 ; 190,20 ;; 3,30 ; 198,00 ;-3,94%;
170744;Cabo de cobre 4mm2 - 1 KV; m ;40,00;; 4,75 ; 190,00 ;; 4,50 ; 180,00 ;; 5,01 ; 200,40 ;-10,18%;
170749;Cabo de cobre 35mm2 - 1 KV; m ;120,00;; 15,42 ; 1.850,40 ;; 15,42 ; 1.850,40 ;; 20,03 ; 2.403,60 ;-23,02%;
170081;Ponto de luz / força (c/tubul., cx. e fiaçao) ate 200W; pt ;24,00;; 117,98 ; 2.831,52 ;; 117,98 ; 2.831,52 ;; 120,60 ; 2.894,40 ;-2,17%;
170692;Ponto p/ ventilador de teto (c/ fiaçao); pt ;12,00;; 54,78 ; 657,36 ;; 54,78 ; 657,36 ;; 56,67 ; 680,04 ;-3,34%;
170332;Interruptor simples 1 tecla (s/ fiação); un  ;4,00;; 6,63 ; 26,52 ;; 6,63 ; 26,52 ;; 7,72 ; 30,88 ;-14,12%;
170340;Tomada universal 10A-250V (s/ fiaçao); un  ;5,00;; 8,91 ; 44,55 ;; 8,91 ; 44,55 ;; 10,58 ; 52,90 ;-15,78%;
170536;Luminária c/ 02 lamp.fluor. 16W-tubular (s/fiaçao); un  ;12,00;; 75,11 ; 901,32 ;; 75,11 ; 901,32 ;; 75,35 ; 904,20 ;-0,32%;
170537;Luminária c/ 02 lamp.fluor. 32W-tubular (s/fiaçao); un  ;24,00;; 97,16 ; 2.331,84 ;; 97,16 ; 2.331,84 ;; 97,40 ; 2.337,60 ;-0,25%;
SINAPI - 74246/001;Refletor retangular completo com lâmpada vapor de mercúrio de 1000W; un  ;3,00;; 239,87 ; 719,61 ;; 220,30 ; 660,90 ; 188,58 ; 245,15 ; 735,46 ;-10,14%;
SINAPI - 73783/007 ;Poste de concreto h=7,00m ( incluindo base de concrcto ciclópico); un  ;3,00;; 534,11 ; 1.602,33 ;; 520,00 ; 1.560,00 ; 526,69 ; 684,70 ; 2.054,09 ;-24,05%;
171165;"Haste de Aço cobreada 5/8""""x3,0m c/ conector"; un  ;1,00;; 57,67 ; 57,67 ;; 57,67 ; 57,67 ;; 59,07 ; 59,07 ;-2,37%;
180299;Ponto de agua (incl. tubos e conexoes) ; pt ;8,00;; 215,84 ; 1.726,72 ;; 215,84 ; 1.726,72 ;; 216,39 ; 1.731,12 ;-0,25%;
180838;Reservatório em fibra de vidro 10.000 L; un  ;1,00;; 3.890,58 ; 3.890,58 ;; 3.890,58 ; 3.890,58 ;; 3.994,37 ; 3.994,37 ;-2,60%;
180214;Ponto de esgoto (incl. tubos, conexoes,cx. c ralos); pt ;6,00;; 209,76 ; 1.258,56 ;; 209,76 ; 1.258,56 ;; 215,06 ; 1.290,36 ;-2,46%;
180543;Sumidouro em alvenaria c/ tampa em concreto - cap. 50 pessoas; un  ;1,00;; 1.223,00 ; 1.223,00 ;; 1.223,00 ; 1.223,00 ;; 1.393,73 ; 1.393,73 ;-12,25%;
180550;Fossa septica em concreto armado cap=50 pessoas; un  ;1,00;; 3.525,00 ; 3.525,00 ;; 3.525,00 ; 3.525,00 ;; 3.976,21 ; 3.976,21 ;-11,35%;
180508;Tubo em PVC - 150mm (LS); m ;20,00;; 39,60 ; 792,00 ;; 39,60 ; 792,00 ;; 39,33 ; 786,60 ;0,69%;
180513;Canaleta em alvenaria (0.30x0.30m) rebocada internamente; m ;72,00;; 61,69 ; 4.441,68 ;; 61,69 ; 4.441,68 ;; 61,43 ; 4.422,96 ;0,42%;
190087;Saboneteira de louça; un  ;3,00;; 30,72 ; 92,16 ;; 30,72 ; 92,16 ;; 31,88 ; 95,64 ;-3,64%;
190090;Bacia sifonada de louça c/ assenlo; un  ;3,00;; 199,72 ; 599,16 ;; 199,72 ; 599,16 ;; 210,16 ; 630,48 ;-4,97%;
190224;Caixa de descarga plastica externa; un  ;3,00;; 75,83 ; 227,49 ;; 75,83 ; 227,49 ;; 76,91 ; 230,73 ;-1,40%;
190218;Chuveiro em PVC; un  ;1,00;; 14,83 ; 14,83 ;; 14,73 ; 14,73 ;; 16,63 ; 16,63 ;-11,43%;
190375;Lavatório de louça c/ col., torneira, sifão e válvula; un  ;3,00;; 322,19 ; 966,57 ;; 322,19 ; 966,57 ;; 338,38 ; 1.015,14 ;-4,78%;
190376;Tanque inox c/ torneira, sifao e válvula; un  ;2,00;; 520,42 ; 1.040,84 ;; 520,13 ; 1.040,26 ;; 518,26 ; 1.036,52 ;0,36%;
190098;"Torneira de metal de 3/4"" p/ tanque e pia"; un  ;6,00;; 44,93 ; 269,58 ;; 44,93 ; 269,58 ;; 48,79 ; 292,74 ;-7,91%;
241317;Placa de inauguraçao em acrílico/letras bx. relevo-(60 x 40cm); un  ;1,00;; 1.140,00 ; 1.140,00 ;; 940,00 ; 940,00 ;; 2.545,35 ; 2.545,35 ;-63,07%;
250512;"Casa de bomba 1,20x0,80m; h = 0,80m"; un  ;1,00;; 949,23 ; 949,23 ;; 678,82 ; 678,82 ;; 954,72 ; 954,72 ;-28,90%;
250546;Passarela coberta c/ telhas de barro-pilar sanduiche (det.23); m ;31,00;; 1.012,43 ; 31.385,33 ;; 1.012,43 ; 31.385,33 ;; 1.013,04 ; 31.404,24 ;-0,06%;
250658;Torre em conc. armado p/ cx.d'agua h=6,0m-base 2.0x2.0m ; un  ;1,00;; 7.598,25 ; 7.598,25 ;; 5.500,00 ; 5.500,00 ;; 8.372,91 ; 8.372,91 ;-34,31%;
270220;Limpeza geral e entrega da obra ; m2 ;576,00;; 3,42 ; 1.969,92 ;; 3,42 ; 1.969,92 ;; 3,47 ; 1.998,72 ;-1,44%;
